Target	Regulator	Condition	edge-type
DEK	P2RY10	Differential	Undirected
DEK	RABAC1	Differential	Undirected
DEK	TXN	Differential	Undirected
DEK	S100A4	Differential	Undirected
DEK	MT2A	Differential	Undirected
DEK	MAF	Differential	Undirected
DEK	HMGB1	Differential	Undirected
DEK	CD44	Differential	Undirected
DEK	LYST	Differential	Undirected
DEK	TGFB1	Differential	Undirected
DEK	HSPB1	Differential	Undirected
DEK	RALGAPA1	Differential	Undirected
DEK	CXCR3	Differential	Undirected
DEK	TXNIP	Differential	Undirected
DEK	GLUL	Differential	Undirected
DEK	DOK2	Differential	Undirected
DEK	CRIP1	Differential	Undirected
DEK	SOD2	Differential	Undirected
DEK	GADD45B	Differential	Undirected
DEK	ACTG1	Differential	Undirected
DEK	CXCR4	Differential	Undirected
DEK	HMGA1	Differential	Undirected
DEK	GPCPD1	Differential	Undirected
DEK	SLC7A5	Differential	Undirected
P2RY10	RABAC1	Differential	Undirected
P2RY10	TXN	Differential	Undirected
P2RY10	S100A4	Differential	Undirected
P2RY10	MT2A	Differential	Undirected
P2RY10	MAF	Differential	Undirected
P2RY10	HMGB1	Differential	Undirected
P2RY10	CD44	Differential	Undirected
P2RY10	LYST	Differential	Undirected
P2RY10	TGFB1	Differential	Undirected
P2RY10	HSPB1	Differential	Undirected
P2RY10	RALGAPA1	Differential	Undirected
P2RY10	CXCR3	Differential	Undirected
P2RY10	TXNIP	Differential	Undirected
P2RY10	GLUL	Differential	Undirected
P2RY10	DOK2	Differential	Undirected
P2RY10	CRIP1	Differential	Undirected
P2RY10	SOD2	Differential	Undirected
P2RY10	GADD45B	Differential	Undirected
P2RY10	ACTG1	Differential	Undirected
P2RY10	CXCR4	Differential	Undirected
P2RY10	HMGA1	Differential	Undirected
P2RY10	GPCPD1	Differential	Undirected
P2RY10	SLC7A5	Differential	Undirected
RABAC1	TXN	Differential	Undirected
RABAC1	S100A4	Differential	Undirected
RABAC1	MT2A	Differential	Undirected
RABAC1	MAF	Differential	Undirected
RABAC1	HMGB1	Differential	Undirected
RABAC1	CD44	Differential	Undirected
RABAC1	LYST	Differential	Undirected
RABAC1	TGFB1	Differential	Undirected
RABAC1	HSPB1	Differential	Undirected
RABAC1	RALGAPA1	Differential	Undirected
RABAC1	CXCR3	Differential	Undirected
RABAC1	TXNIP	Differential	Undirected
RABAC1	GLUL	Differential	Undirected
RABAC1	DOK2	Differential	Undirected
RABAC1	CRIP1	Differential	Undirected
RABAC1	SOD2	Differential	Undirected
RABAC1	GADD45B	Differential	Undirected
RABAC1	ACTG1	Differential	Undirected
RABAC1	CXCR4	Differential	Undirected
RABAC1	HMGA1	Differential	Undirected
RABAC1	GPCPD1	Differential	Undirected
RABAC1	SLC7A5	Differential	Undirected
TXN	S100A4	Differential	Undirected
TXN	MT2A	Differential	Undirected
TXN	MAF	Differential	Undirected
TXN	HMGB1	Differential	Undirected
TXN	CD44	Differential	Undirected
TXN	LYST	Differential	Undirected
TXN	TGFB1	Differential	Undirected
TXN	HSPB1	Differential	Undirected
TXN	RALGAPA1	Differential	Undirected
TXN	CXCR3	Differential	Undirected
TXN	TXNIP	Differential	Undirected
TXN	GLUL	Differential	Undirected
TXN	DOK2	Differential	Undirected
TXN	CRIP1	Differential	Undirected
TXN	SOD2	Differential	Undirected
TXN	GADD45B	Differential	Undirected
TXN	ACTG1	Differential	Undirected
TXN	CXCR4	Differential	Undirected
TXN	HMGA1	Differential	Undirected
TXN	GPCPD1	Differential	Undirected
TXN	SLC7A5	Differential	Undirected
S100A4	MT2A	Differential	Undirected
S100A4	MAF	Differential	Undirected
S100A4	HMGB1	Differential	Undirected
S100A4	CD44	Differential	Undirected
S100A4	LYST	Differential	Undirected
S100A4	TGFB1	Differential	Undirected
S100A4	HSPB1	Differential	Undirected
S100A4	RALGAPA1	Differential	Undirected
S100A4	CXCR3	Differential	Undirected
S100A4	TXNIP	Differential	Undirected
S100A4	GLUL	Differential	Undirected
S100A4	DOK2	Differential	Undirected
S100A4	CRIP1	Differential	Undirected
S100A4	SOD2	Differential	Undirected
S100A4	GADD45B	Differential	Undirected
S100A4	ACTG1	Differential	Undirected
S100A4	CXCR4	Differential	Undirected
S100A4	HMGA1	Differential	Undirected
S100A4	GPCPD1	Differential	Undirected
S100A4	SLC7A5	Differential	Undirected
MT2A	MAF	Differential	Undirected
MT2A	HMGB1	Differential	Undirected
MT2A	CD44	Differential	Undirected
MT2A	LYST	Differential	Undirected
MT2A	TGFB1	Differential	Undirected
MT2A	HSPB1	Differential	Undirected
MT2A	RALGAPA1	Differential	Undirected
MT2A	CXCR3	Differential	Undirected
MT2A	TXNIP	Differential	Undirected
MT2A	GLUL	Differential	Undirected
MT2A	DOK2	Differential	Undirected
MT2A	CRIP1	Differential	Undirected
MT2A	SOD2	Differential	Undirected
MT2A	GADD45B	Differential	Undirected
MT2A	ACTG1	Differential	Undirected
MT2A	CXCR4	Differential	Undirected
MT2A	HMGA1	Differential	Undirected
MT2A	GPCPD1	Differential	Undirected
MT2A	SLC7A5	Differential	Undirected
MAF	HMGB1	Differential	Undirected
MAF	CD44	Differential	Undirected
MAF	LYST	Differential	Undirected
MAF	TGFB1	Differential	Undirected
MAF	HSPB1	Differential	Undirected
MAF	RALGAPA1	Differential	Undirected
MAF	CXCR3	Differential	Undirected
MAF	TXNIP	Differential	Undirected
MAF	GLUL	Differential	Undirected
MAF	DOK2	Differential	Undirected
MAF	CRIP1	Differential	Undirected
MAF	SOD2	Differential	Undirected
MAF	GADD45B	Differential	Undirected
MAF	ACTG1	Differential	Undirected
MAF	CXCR4	Differential	Undirected
MAF	HMGA1	Differential	Undirected
MAF	GPCPD1	Differential	Undirected
MAF	SLC7A5	Differential	Undirected
HMGB1	CD44	Differential	Undirected
HMGB1	LYST	Differential	Undirected
HMGB1	TGFB1	Differential	Undirected
HMGB1	HSPB1	Differential	Undirected
HMGB1	RALGAPA1	Differential	Undirected
HMGB1	CXCR3	Differential	Undirected
HMGB1	TXNIP	Differential	Undirected
HMGB1	GLUL	Differential	Undirected
HMGB1	DOK2	Differential	Undirected
HMGB1	CRIP1	Differential	Undirected
