Label	Gene
0	AATF
1	ABL1
2	ABRA
3	AC008770.3
4	AC020915.1
5	AC023509.3
6	AC092835.1
7	AC105001.2
8	AC138696.1
9	ACOD1
10	ACTR3B
11	ACTR3C
12	ADAM8
13	ADAMTS17
14	ADAMTS19
15	ADAR
16	ADGRA1
17	ADGRG3
18	ADNP
19	ADNP2
20	AEBP1
21	AEBP2
22	AES
23	AFAP1 
24	AFF1
25	AFF3
26	AFF4
27	AGER
28	AGT
29	AHCTF1
30	AHDC1
31	AHR
32	AHRR
33	AIM2
34	AIRE
35	AKAP8
36	AKAP8L
37	AKNA
38	AKT1
39	ALK
40	ALKBH2
41	ALX1
42	ALX3
43	ALX4
44	AMH
45	ANAPC2
46	ANHX
47	ANKRD30A
48	ANKZF1
49	ANXA3
50	ANXA4
51	AP5Z1
52	APBB3
53	APC2
54	APEX1
55	APOA4
56	APOBEC3A
57	APOBEC3B
58	APOBEC3G
59	APTX
60	AR
61	ARGFX
62	ARHGAP35
63	ARHGEF2
64	ARHGEF5
65	ARID1A
66	ARID1B
67	ARID2
68	ARID3A
69	ARID3B
70	ARID3C
71	ARID4A
72	ARID4B
73	ARID5A
74	ARID5B
75	ARNT
76	ARNT2
77	ARNTL
78	ARNTL2
79	ARRB1
80	ARRB2
81	ARX
82	ASCC1
83	ASCL1
84	ASCL2
85	ASCL3
86	ASCL4
87	ASCL5
88	ASH1L
89	ATF1
90	ATF2
91	ATF3
92	ATF4
93	ATF5
94	ATF6
95	ATF6B
96	ATF7
97	ATF7IP
98	ATM
99	ATMIN
100	ATOH1
101	ATOH7
102	ATOH8
103	ATR
104	ATRX
105	ATXN7
106	BACH1
107	BACH2
108	BAG1
109	BANF1
110	BANP
111	BARHL1
112	BARHL2
113	BARX1
114	BARX2
115	BATF
116	BATF2
117	BATF3
118	BAZ2A
119	BAZ2B
120	BBX
121	BCL10
122	BCL11A
123	BCL11B
124	BCL3
125	BCL6
126	BCL6B
127	BCLAF1
128	BCOR
129	BDP1
130	BEND4
131	BEX1
132	BHLHA15
133	BHLHA9
134	BHLHE22
135	BHLHE23
136	BHLHE40
137	BHLHE41
138	BHMG1
139	BIN1
140	BLM
141	BLZF1
142	BMI1
143	BMP2
144	BMP4
145	BMP7
146	BMPR1A
147	BNC1
148	BNC2
149	BOD1L1
150	BOLA1
151	BOLA2
152	BOLA2B
153	BOLA3
154	BORCS8-MEF2B
155	BPNT1
156	BPTF
157	BRCA1
158	BRD4
159	BRD7
160	BRD8
161	BRD9
162	BRF1
163	BRF2
164	BRMS1
165	BRPF1
166	BSX
167	BTAF1
168	BTBD8
169	BTG2
170	BTK
171	BTRC
172	BUD31
173	C11orf95
174	C14orf39
175	C17orf49
176	C1D
177	C20orf194
178	C3orf33
179	CACTIN
180	CAMK1D
181	CAMK2A
182	CAMTA1
183	CAMTA2
184	CAPN15
185	CAPN3
186	CARD11
187	CARD14
188	CARF
189	CARHSP1
190	CASP8AP2
191	CASZ1
192	CAT
193	CBFA2T2
194	CBFA2T3
195	CBFB
196	CBL
197	CBLL1
198	CBX2
199	CC2D1A
200	CC2D1B
201	CCDC124
202	CCDC169-SOHLH2
203	CCDC17
204	CCDC3
205	CCDC71
206	CCDC83
207	CCNT1
208	CCNT2
209	CD36
210	CD40
211	CD40LG
212	CDC5L
213	CDC6
214	CDK5RAP3
215	CDK7
216	CDK8
217	CDK9
218	CDKN1A
219	CDKN2A
220	CDX1
221	CDX2
222	CDX4
223	CEBPA
224	CEBPB
225	CEBPD
226	CEBPE
227	CEBPG
228	CEBPZ
229	CELF3
230	CENPA
231	CENPB
232	CENPBD1
233	CENPS
234	CENPT
235	CENPX
236	CERS2
237	CERS3
238	CERS4
239	CERS5
240	CERS6
241	CFLAR
242	CGGBP1
243	CHAMP1
244	CHCHD3
245	CHD1
246	CHD2
247	CHD3
248	CHD4
249	CHD6
250	CHD7
251	CHD9
252	CHP1
253	CHRAC1
254	CHUK
255	CHURC1
256	CIB1
257	CIC
258	CIITA
259	CIR1
260	CITED1
261	CITED2
262	CITED4
263	CIZ1
264	CLOCK
265	CLU
266	CMKLR1
267	CNBP
268	CNOT3
269	CNOT4
270	CNOT7
271	CNOT8
272	COMMD1
273	COMMD6
274	COMMD7
275	COPS2
276	COPS3
277	COPS4
278	CPEB1
279	CPSF4
280	CPSF4L
281	CPXCR1
282	CRAMP1
283	CREB1
284	CREB3
285	CREB3L1
286	CREB3L2
287	CREB3L3
288	CREB3L4
289	CREB5
290	CREBBP
291	CREBL2
292	CREBRF
293	CREBZF
294	CREG1
295	CREM
296	CRTC1
297	CRTC2
298	CRTC3
299	CRX
300	CSDC2
301	CSDE1
302	CSRNP1
303	CSRNP2
304	CSRNP3
305	CTBP1
306	CTBP2
307	CTCF
308	CTCFL
309	CTH
310	CTNNB1
311	CTNNBIP1
312	CUL1
313	CUL2
314	CUL3
315	CUL4A
316	CUL4B
317	CUL5
318	CUX1
319	CUX2
320	CXXC1
321	CXXC4
322	CXXC5
323	CYLD
324	CYP1B1
325	CYTL1
326	DAB2IP
327	DACH1
328	DACH2
329	DAP
